STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_03286,23.686,89.253,1985.0,DTW,217.0,Khulna,Jhenaidah,Shailkupa,"Paurashova, W01",Tpc,4448001
S98_03287,23.663,89.199,1975.0,STW,20.0,Khulna,Jhenaidah,Shailkupa,Umedpur,Garakhola,4448094373
S98_03288,23.711,89.151,1975.0,Tara,49.0,Khulna,Jhenaidah,Shailkupa,Tribeni,Padamdi,4448088747
S98_03289,23.693,89.178,1994.0,STW,49.0,Khulna,Jhenaidah,Shailkupa,Mirzapur,Mirzapur,4448063670
S98_03290,23.643,89.201,1997.0,STW,54.0,Khulna,Jhenaidah,Shailkupa,Dudshar,Shailkopa,4448031340
S98_03291,23.653,89.048,1994.0,STW,49.0,Khulna,Jhenaidah,Harinakunda,Harinakunda,Harinakunda,4441442387
S98_03292,23.719,89.077,1997.0,STW,44.0,Khulna,Jhenaidah,Harinakunda,Joradaha,Joradah,4441452465
S98_03293,23.651,89.123,1991.0,STW,50.0,Khulna,Jhenaidah,Harinakunda,Ragunathpur,Porahati,4441473775
S98_03294,23.648,89.047,1992.0,STW,72.0,Khulna,Jhenaidah,Harinakunda,Harinakunda,Harinakunda,4441442387
S98_03295,23.606,89.075,1973.0,STW,45.0,Khulna,Jhenaidah,Harinakunda,Kapashatia,Bhalikishtali,4441463142
S98_03296,23.579,89.129,1995.0,STW,40.0,Khulna,Jhenaidah,Harinakunda,Chandpur,Chandpur,4441421206
S98_03297,23.86,89.238,1997.0,DTW,121.0,Khulna,Kushtia,Kumarkhali,Paurashova,Kalibari,4507170
S98_03298,23.901,89.259,1988.0,STW,35.0,Khulna,Kushtia,Kumarkhali,Jaganathpur,Hashimpur,4507143431
S98_03299,23.906,89.225,1986.0,Tara,37.0,Khulna,Kushtia,Kumarkhali,Shelaidaha,Gobrakhali,4507194377
S98_03300,23.898,89.186,1992.0,Tara,40.0,Khulna,Kushtia,Kumarkhali,Kaya,Uttar kaya,4507151984
S98_03301,23.86,89.163,1998.0,Tara,42.0,Khulna,Kushtia,Kumarkhali,Chapra,Shymnagar,4507125434
S98_03302,22.86,89.877,1993.0,STW,19.0,Khulna,Bagerhat,Chitalmari,Kalatala,Chingari,4011466254
S98_03303,22.82,89.874,1989.0,STW,25.0,Khulna,Bagerhat,Chitalmari,Hizla,Hizla,4011447397
S98_03304,22.803,89.901,1975.0,STW,21.0,Khulna,Bagerhat,Chitalmari,Hizla,Boalia,4011447110
S98_03305,22.791,89.876,1975.0,STW,20.0,Khulna,Bagerhat,Chitalmari,Chitalmari,Aruabarri,4011431031
S98_03306,22.532,89.59,1994.0,STW,13.0,Khulna,Bagerhat,Mongla,Buridanga,Bidyarboandigraj,4015827216
S98_03307,22.476,89.597,1996.0,STW,16.0,Khulna,Bagerhat,Mongla,Paurashava w02,Mongla bus stand,4015864
S98_03308,22.469,89.605,1995.0,STW,13.0,Khulna,Bagerhat,Mongla,Paurashava w03,Char salabunia,4015864408
S98_03309,23.213,89.488,1996.0,STW,50.0,Khulna,Narail,Narail Sadar,Shahabad,Sharashpur,4657674856
S98_03310,23.223,89.45,1997.0,STW,62.0,Khulna,Narail,Narail Sadar,Maij para,Hossainpur,4657654503
S98_03311,23.269,89.498,1997.0,STW,21.0,Khulna,Narail,Narail Sadar,Habakhali,Harighara,4657640475
S98_03312,23.581,89.444,1977.0,STW,49.0,Khulna,Magura,Sreepur (M),Sabdalpur,Naohata,4559563683
S98_03313,23.558,89.493,1996.0,STW,44.0,Khulna,Magura,Sreepur (M),Nakol,Nakol,4559552647
S98_03314,23.437,89.465,1997.0,Tara,52.0,Khulna,Magura,Sreepur (M),Dariapur,Dariapur,4559521275
S98_03315,23.643,89.435,1996.0,Tara,49.0,Khulna,Magura,Sreepur (M),Amalsar,Ramchandpur,4559510011
